file_name,labels
30764026.png,0
29135450.png,1
15692736.png,0
9836128.png,0
11500183.png,1
2194.png,0
31981805.png,0
29127905.png,1
15248586.png,1
3018.png,0
29128452.png,1
29138311.png,0
16472003.png,0
16471979.png,0
3197.png,1
15537685.png,0
29137072.png,0
15626050.png,0
17593773.png,1
3193.png,1
13215300.png,1
9972873.png,0
29133212.png,1
15126143.png,0
3175.png,1
29138919.png,0
30849874.png,0
29139151.png,0
2990.png,0
9739798.png,0
13051995.png,0
30943295.png,1
29127345.png,1
31981773.png,1
30965596.png,1
29135105.png,1
3158.png,1
3145.png,0
3173.png,1
11679674.png,1
3199.png,1
29134263.png,1
3203.png,1
29134296.png,1
2193.png,1
30133740.png,0
30859467.png,0
2173.png,0
29138867.png,0
17557617.png,0
13175150.png,0
3195.png,1
30875948.png,1
30626050.png,0
11914146.png,1
31365824.png,0
15248546.png,1
15626058.png,0
11378328.png,0
29137298.png,1
29129961.png,0
30876146.png,1
29126269.png,0
12976937.png,0
29697164.png,0
14531915.png,0
3182.png,1
29698013.png,0
30551220.png,0
9672701.png,0
29131465.png,0
3205.png,1
29130017.png,0
31981821.png,1
14592819.png,0
2178.png,1
9869292.png,0
17579487.png,0
9643956.png,0
28030046.png,1
11575030.png,1
9869305.png,0
15022894.png,0
11849229.png,0
15537677.png,0
9836120.png,0
15126127.png,1
29132923.png,1
29128384.png,1
29133355.png,1
15741365.png,0
9972897.png,0
3067.png,0
30679482.png,0
17674296.png,0
16471987.png,0
28030005.png,0
29133733.png,1
30705175.png,1
3189.png,1
16199497.png,0
11575014.png,1
9972953.png,0
29138760.png,0
29128125.png,1
29697471.png,0
29138440.png,0
15959699.png,0
29133480.png,1
3222.png,1
17674280.png,1
29133095.png,1
2188.png,1
3198.png,1
17634934.png,1
11849205.png,0
15323710.png,1
11849221.png,0
30134203.png,0
3029.png,0
29138640.png,0
9788654.png,0
29130580.png,1
13310645.png,0
14698663.png,0
30134402.png,0
30707624.png,0
29134038.png,1
3159.png,1
3176.png,1
3186.png,1
29139216.png,0
29133727.png,1
29131704.png,0
31147882.png,1
10191411.png,0
15464881.png,1
11439402.png,1
17661293.png,0
30802410.png,0
14364006.png,1
3051.png,0
15723279.png,0
3202.png,1
29130868.png,0
3028.png,1
29128170.png,1
29133751.png,1
14964911.png,0
11378336.png,0
17635011.png,0
29137871.png,0
30805562.png,0
15464905.png,0
14698631.png,0
11378352.png,0
3013.png,0
29134518.png,1
9972937.png,0
14364038.png,0
3170.png,1
17634926.png,0
15923177.png,0
15959675.png,0
2992.png,0
2161.png,1
14964887.png,0
29132963.png,1
15323734.png,1
29127745.png,1
30849898.png,0
29129283.png,0
11439386.png,1
17614921.png,0
14411190.png,0
12748365.png,0
14651814.png,0
29697746.png,0
15626042.png,0
13578917.png,0
9672677.png,0
29698096.png,0
3033.png,0
11575046.png,1
29128015.png,1
9704352.png,0
2211.png,1
30511950.png,0
31104915.png,1
10117130.png,0
24692034.png,0
10117138.png,0
14840025.png,1
16199530.png,0
17540887.png,0
30849906.png,0
29136405.png,0
15464889.png,0
14901917.png,1
17565455.png,1
30874830.png,1
3161.png,1
11849189.png,1
29135292.png,0
2150.png,0
14443078.png,0
13310637.png,0
3030.png,1
14534807.png,0
3057.png,0
29697413.png,0
3166.png,1
29131253.png,0
3044.png,1
3007.png,0
29126419.png,0
31232656.png,0
29131892.png,0
2204.png,0
26633189.png,1
29135732.png,1
30630821.png,0
29136184.png,1
29138923.png,0
3172.png,1
11439410.png,1
30854067.png,1
17634887.png,1
15537693.png,0
3223.png,1
30134705.png,0
14364022.png,0
29134935.png,1
16199513.png,0
3157.png,0
2230.png,0
3047.png,1
3217.png,1
12976977.png,0
29131303.png,0
17855666.png,1
31981765.png,1
9643924.png,0
2190.png,1
33758490.png,0
11914178.png,0
29136594.png,1
9704360.png,0
31981741.png,1
9643908.png,0
11679634.png,1
31105037.png,1
14964895.png,0
3187.png,1
12042553.png,0
14531875.png,1
29696889.png,0
33808836.png,0
10117122.png,0
15723271.png,0
11500191.png,1
17593781.png,1
17634942.png,1
29131623.png,0
9972921.png,0
29132278.png,0
3084.png,0
9836104.png,0
15852703.png,0
15773617.png,0
29136392.png,0
14364030.png,1
14698623.png,0
3071.png,1
29134950.png,1
30783181.png,1
29127374.png,1
29133566.png,1
12042561.png,0
9643916.png,0
30793317.png,0
13578909.png,0
29136317.png,1
3061.png,0
17579471.png,1
3146.png,0
15692744.png,0
29127721.png,1
9972945.png,0
15959683.png,0
29130736.png,0
29135379.png,1
30755299.png,0
29129996.png,1
15248570.png,1
30770137.png,0
16472011.png,0
14840033.png,1
29132199.png,0
29128895.png,1
29137047.png,0
9869284.png,0
2152.png,0
2163.png,0
15323742.png,1
13310629.png,1
3038.png,0
11789889.png,0
29139278.png,0
3169.png,1
3216.png,0
29134880.png,1
14651774.png,0
14443070.png,1
15126119.png,1
29138773.png,0
15692728.png,0
17674272.png,1
30691094.png,0
29128153.png,1
3043.png,1
17594061.png,0
30133894.png,0
17634998.png,0
30930397.png,1
15692712.png,0
30998131.png,1
30753319.png,0
15723239.png,0
29136256.png,0
3151.png,0
29134313.png,1
3039.png,1
3180.png,1
29131483.png,0
3058.png,0
30849934.png,0
15773609.png,0
29132756.png,1
14746294.png,1
29138330.png,0
29697950.png,0
30134970.png,0
29137124.png,0
17614929.png,1
9869297.png,0
17540929.png,1
29696961.png,0
29132836.png,1
30994908.png,1
14592835.png,0
14746286.png,1
29127206.png,1
9704344.png,0
28029908.png,1
30679490.png,0
3156.png,0
17192096.png,0
15959659.png,0
3035.png,1
14840009.png,1
11789881.png,1
3066.png,0
14782391.png,1
29697284.png,0
29132605.png,1
30691086.png,0
30764034.png,0
29137566.png,0
29127186.png,0
2199.png,0
9972889.png,0
3050.png,0
3020.png,0
3032.png,0
29134294.png,1
14782359.png,1
11789921.png,0
29697679.png,0
3221.png,0
13175134.png,0
12042592.png,0
29137481.png,0
2153.png,0
29132851.png,1
11500215.png,1
3034.png,0
3148.png,0
33758492.png,0
3074.png,1
14840049.png,1
28030191.png,1
33695945.png,0
29138018.png,0
29137019.png,1
2186.png,1
