0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,label,evi
"(1.7130473996206773e-05, 3.416588719685876, 0.2117315928141276, 13724328, 278.12404378255206)","(3.379162782796286e-05, 4.717519378662132, 0.2041142781575521, 13796680, 278.1585693359375)","(5.080152349602258e-05, 4.307933425903343, 0.1958897908528646, 14135324, 278.4770278930664)","(0.0, 4.590901311238611, 0.1867376963297526, 11038888, 279.8902244567871)","(6.73485889997778e-05, 5.040633138020837, 0.17681503295898438, 13910008, 279.59789085388184)","(0.00013479112634649936, 5.8339159647624115, 0.1674016316731771, 14257904, 280.0318406422933)","(0.0, 6.385786310831747, 0.15764935811360678, 14446164, 281.7933750152588)","(3.35569620110391e-05, 7.233955637613974, 0.1461308797200521, 12278576, 282.8188991546631)","(0.11775115131363108, 8.975778834025107, 0.15620040893554688, 13925460, 281.0812244415283)","(0.0004080808386195599, 1.3421455383301009, 0.15990130106608072, 13793384, 275.86523310343426)","(3.3606230063873e-05, 0.6567468007405637, 0.15310287475585938, 14059692, 274.508602142334)","(6.77005864663272e-05, 0.3058537801106809, 0.147247314453125, 15196252, 274.8832867940267)","(6.75832539774774e-05, -0.7352743784586551, 0.14191436767578125, 15244248, 273.3640613555908)","(6.771798414258115e-05, 1.7084804534912337, 0.13652801513671875, 15008484, 275.1325969696045)","(5.057010799425825e-05, 4.675100580851279, 0.12945874532063803, 15118088, 279.1851342519124)","(0.0, 7.642666117350302, 0.12071673075358073, 15026688, 282.3902072906494)","(0.00013515632089265638, 8.921469624837243, 0.11349995930989583, 15332592, 284.1548900604248)","(3.402628749057613e-05, 11.01270446777346, 0.10683250427246094, 14897696, 285.7842216491699)","(3.355695977310802e-05, 12.941018676757835, 0.10085423787434895, 14816876, 287.6303005218506)","(0.0, 13.779840723673544, 0.0958544413248698, 15423408, 288.30813217163086)","(0.0, 13.35786081949874, 0.09163157145182292, 13224680, 288.3269672393799)","(0.010686719646299884, 13.404912567138695, 0.08977381388346355, 6637784, 289.5650628407796)","(0.00411836205366563, 16.07665150960287, 0.09180959065755208, 9430156, 289.3024673461914)","(0.5395063362449386, 14.65253346761068, 0.14790725708007812, 7579336, 288.69272168477374)","(0.12258617007136345, 11.991479492187523, 0.2760092417399089, 10544568, 285.0887991587321)",1,[0.11380000000000001]
"(8.407752668694002e-05, 13.553952789306663, 0.07984161376953125, 16259012, 286.5457350413005)","(6.756976596682876e-05, 14.790214792887411, 0.07675234476725261, 15848316, 288.35498174031574)","(0.10865533681213856, 15.535482025146507, 0.08123143513997395, 9550448, 290.27750968933105)","(0.3956783734209786, 13.076531982421898, 0.17954572041829428, 10971536, 285.61855061848956)","(0.00023560273572416577, 8.182010904947958, 0.20340919494628906, 15501188, 280.9023443857829)","(0.0, 8.485932922363304, 0.18083890279134116, 15143292, 281.06724484761554)","(1.6778481704873016e-05, 9.84330520629885, 0.16275342305501303, 15291132, 283.6448624928792)","(0.0, 12.015608088175497, 0.1454334259033203, 15040732, 286.03752517700195)","(0.00011850532586931877, 12.707665379842126, 0.13010088602701822, 14793944, 287.6509259541829)","(3.3791627688092165e-05, 13.364614741007529, 0.11489677429199219, 14794136, 286.9247417449951)","(0.0, 13.904832458496116, 0.10320154825846355, 14516420, 287.57182693481445)","(1.6778481704873016e-05, 14.522048568725609, 0.09486834208170573, 14616264, 290.6427224477132)","(0.016744455608725548, 13.558950678507529, 0.0900891621907552, 9513972, 290.2060070037842)","(0.029750243025982854, 15.801627731323265, 0.09502156575520833, 10848288, 289.18003781636554)","(8.49419745650323e-05, 11.20962804158529, 0.09389940897623698, 14585528, 284.8451843261719)","(5.0922105460807647e-05, 8.99785957336428, 0.08961677551269531, 14541300, 281.56254323323566)","(6.722956463502782e-05, 8.632105763753259, 0.08601760864257812, 14328652, 281.76127942403156)","(6.77005864663272e-05, 7.348804728190146, 0.08336766560872395, 14402960, 280.2008991241455)","(0.0, 7.2492392222087005, 0.08111254374186198, 14410180, 280.64014434814453)","(8.471373244954634e-05, 7.877338663737021, 0.0790863037109375, 14419076, 281.5806802113851)","(0.0, 9.550991312662802, 0.07704861958821614, 14268764, 283.3019199371338)","(3.35569620110391e-05, 11.845887756347679, 0.07512219746907552, 13626192, 285.49235979715985)","(0.0, 13.528462982177757, 0.07350794474283855, 14046632, 290.19324111938477)","(6.718784288581219e-05, 11.504424031575525, 0.07212066650390625, 13884312, 285.7599067687988)","(3.355695977310802e-05, 13.680648422241234, 0.0707689921061198, 13380584, 286.8181743621826)",1,"[0.13920000000000002, 0.15280000000000002]"
"(0.0, 39.01279157002767, 0.0001735687255859375, 30662684, 307.7019449869792)","(0.00045524831562682947, 40.062536493937216, 4.259745279947916e-05, 24847964, 309.3185214996338)","(0.006375236462056637, 41.61058578491213, 1.970926920572916e-05, 27121772, 309.92745208740234)","(0.013821245128656432, 41.80687103271487, 0.0053768157958984375, 28501560, 307.66823705037433)","(0.014482293848687858, 40.890433883667015, 0.009816487630208334, 29366780, 307.34510231018066)","(0.0050723814718375655, 40.58577753702804, 0.009778340657552084, 28477844, 307.11190859476727)","(0.005637335250521704, 39.78530591328939, 0.010070164998372396, 28959280, 307.05901590983075)","(0.012436375049454851, 38.38105227152511, 0.012522379557291666, 23759156, 305.3952693939209)","(0.016156974077223628, 39.69120623270675, 0.01615142822265625, 27074940, 305.6523494720459)","(0.056901698727113884, 39.19937159220382, 0.02862230936686198, 25747816, 305.7135416666667)","(0.03061615351512532, 40.097732798258505, 0.028730392456054688, 26504568, 306.48619715372723)","(0.01504191358576909, 39.07250747680666, 0.026430765787760418, 26170624, 305.3462613423665)","(0.09827450178935628, 37.04990603129073, 0.031118392944335938, 22672132, 303.37803332010907)","(0.1523112662154523, 31.781828816731775, 0.0579687754313151, 18332220, 300.0403995513916)","(0.02555609190762043, 31.517121251424157, 0.07448705037434895, 23611328, 300.12132453918457)","(0.006801376397462287, 34.00955416361495, 0.046465555826822914, 25367484, 301.9760506947835)","(0.013712360998196286, 37.14610188802084, 0.03009796142578125, 26826120, 303.9033845265706)","(0.0010320900782270202, 37.575983301798544, 0.02577654520670573, 28022196, 304.0383892059326)","(0.06036627923771243, 36.7490224202474, 0.025313695271809895, 19807888, 303.7445208231608)","(0.001532825784381896, 34.52968622843429, 0.03573735555013021, 26482894, 302.09662501017254)","(0.0028112757086753847, 37.10358390808108, 0.023590723673502605, 26337444, 303.5166365305583)","(0.16662801397515953, 35.07656949361166, 0.024697621663411457, 16980934, 302.466360727946)","(0.21635207084715366, 29.762451426188193, 0.09490331013997395, 20773522, 299.0063902537028)","(0.8427514662206174, 28.224875386555993, 0.2864818572998047, 21428608, 298.3344376881917)","(0.02890240172445774, 27.87089055379232, 0.27523549397786456, 25481916, 298.50872294108075)",1,[0.1073]
"(0.016156974077223628, 39.69120623270675, 0.01615142822265625, 27074940, 305.6523494720459)","(0.056901698727113884, 39.19937159220382, 0.02862230936686198, 25747816, 305.7135416666667)","(0.03061615351512532, 40.097732798258505, 0.028730392456054688, 26504568, 306.48619715372723)","(0.01504191358576909, 39.07250747680666, 0.026430765787760418, 26170624, 305.3462613423665)","(0.09827450178935628, 37.04990603129073, 0.031118392944335938, 22672132, 303.37803332010907)","(0.1523112662154523, 31.781828816731775, 0.0579687754313151, 18332220, 300.0403995513916)","(0.02555609190762043, 31.517121251424157, 0.07448705037434895, 23611328, 300.12132453918457)","(0.006801376397462287, 34.00955416361495, 0.046465555826822914, 25367484, 301.9760506947835)","(0.013712360998196286, 37.14610188802084, 0.03009796142578125, 26826120, 303.9033845265706)","(0.0010320900782270202, 37.575983301798544, 0.02577654520670573, 28022196, 304.0383892059326)","(0.06036627923771243, 36.7490224202474, 0.025313695271809895, 19807888, 303.7445208231608)","(0.001532825784381896, 34.52968622843429, 0.03573735555013021, 26482894, 302.09662501017254)","(0.0028112757086753847, 37.10358390808108, 0.023590723673502605, 26337444, 303.5166365305583)","(0.16662801397515953, 35.07656949361166, 0.024697621663411457, 16980934, 302.466360727946)","(0.21635207084715366, 29.762451426188193, 0.09490331013997395, 20773522, 299.0063902537028)","(0.8427514662206174, 28.224875386555993, 0.2864818572998047, 21428608, 298.3344376881917)","(0.02890240172445774, 27.87089055379232, 0.27523549397786456, 25481916, 298.50872294108075)","(0.014484053833782673, 28.831625239054404, 0.2066173553466797, 27522134, 300.38092549641925)","(0.07515234574973584, 28.052852884928427, 0.15744400024414062, 18324248, 300.6310183207194)","(0.14200380157600134, 28.956210708618187, 0.15534146626790366, 20933508, 300.1411940256755)","(0.010585227430606886, 30.586017227172874, 0.12359937032063802, 23298140, 301.4394416809082)","(0.029504315096139908, 32.22924893697103, 0.07933108011881511, 24147864, 302.3115488688151)","(0.00031914315223693847, 34.34025090535482, 0.04801177978515625, 26722924, 303.3187948862712)","(3.379162782796286e-05, 36.00117963155111, 0.02960650126139323, 28239548, 303.9073797861735)","(1.7130473996206773e-05, 37.52921511332198, 0.023604710896809895, 26704068, 304.9661871592204)",1,"[0.1073, 0.1395]"
"(0.02555609190762043, 31.517121251424157, 0.07448705037434895, 23611328, 300.12132453918457)","(0.006801376397462287, 34.00955416361495, 0.046465555826822914, 25367484, 301.9760506947835)","(0.013712360998196286, 37.14610188802084, 0.03009796142578125, 26826120, 303.9033845265706)","(0.0010320900782270202, 37.575983301798544, 0.02577654520670573, 28022196, 304.0383892059326)","(0.06036627923771243, 36.7490224202474, 0.025313695271809895, 19807888, 303.7445208231608)","(0.001532825784381896, 34.52968622843429, 0.03573735555013021, 26482894, 302.09662501017254)","(0.0028112757086753847, 37.10358390808108, 0.023590723673502605, 26337444, 303.5166365305583)","(0.16662801397515953, 35.07656949361166, 0.024697621663411457, 16980934, 302.466360727946)","(0.21635207084715366, 29.762451426188193, 0.09490331013997395, 20773522, 299.0063902537028)","(0.8427514662206174, 28.224875386555993, 0.2864818572998047, 21428608, 298.3344376881917)","(0.02890240172445774, 27.87089055379232, 0.27523549397786456, 25481916, 298.50872294108075)","(0.014484053833782673, 28.831625239054404, 0.2066173553466797, 27522134, 300.38092549641925)","(0.07515234574973584, 28.052852884928427, 0.15744400024414062, 18324248, 300.6310183207194)","(0.14200380157600134, 28.956210708618187, 0.15534146626790366, 20933508, 300.1411940256755)","(0.010585227430606886, 30.586017227172874, 0.12359937032063802, 23298140, 301.4394416809082)","(0.029504315096139908, 32.22924893697103, 0.07933108011881511, 24147864, 302.3115488688151)","(0.00031914315223693847, 34.34025090535482, 0.04801177978515625, 26722924, 303.3187948862712)","(3.379162782796286e-05, 36.00117963155111, 0.02960650126139323, 28239548, 303.9073797861735)","(1.7130473996206773e-05, 37.52921511332198, 0.023604710896809895, 26704068, 304.9661871592204)","(0.0, 39.02224121093752, 0.022138595581054688, 24993794, 306.24483489990234)","(0.0012645989189849446, 40.276709493001306, 0.021765391031901043, 21837284, 307.09579277038574)","(0.017111704897880553, 38.69195645650228, 0.02230072021484375, 23230832, 304.5866006215413)","(0.06725765935331583, 35.618115997314476, 0.04194959004720052, 26520364, 303.01496569315594)","(0.017221410356462002, 37.819884872436546, 0.027383804321289062, 25356304, 304.25591532389325)","(0.0028278474943659033, 36.939994430542015, 0.023816426595052082, 22678718, 304.26240730285645)",1,"[0.1073, 0.1395]"
"(0.16662801397515953, 35.07656949361166, 0.024697621663411457, 16980934, 302.466360727946)","(0.21635207084715366, 29.762451426188193, 0.09490331013997395, 20773522, 299.0063902537028)","(0.8427514662206174, 28.224875386555993, 0.2864818572998047, 21428608, 298.3344376881917)","(0.02890240172445774, 27.87089055379232, 0.27523549397786456, 25481916, 298.50872294108075)","(0.014484053833782673, 28.831625239054404, 0.2066173553466797, 27522134, 300.38092549641925)","(0.07515234574973584, 28.052852884928427, 0.15744400024414062, 18324248, 300.6310183207194)","(0.14200380157600134, 28.956210708618187, 0.15534146626790366, 20933508, 300.1411940256755)","(0.010585227430606886, 30.586017227172874, 0.12359937032063802, 23298140, 301.4394416809082)","(0.029504315096139908, 32.22924893697103, 0.07933108011881511, 24147864, 302.3115488688151)","(0.00031914315223693847, 34.34025090535482, 0.04801177978515625, 26722924, 303.3187948862712)","(3.379162782796286e-05, 36.00117963155111, 0.02960650126139323, 28239548, 303.9073797861735)","(1.7130473996206773e-05, 37.52921511332198, 0.023604710896809895, 26704068, 304.9661871592204)","(0.0, 39.02224121093752, 0.022138595581054688, 24993794, 306.24483489990234)","(0.0012645989189849446, 40.276709493001306, 0.021765391031901043, 21837284, 307.09579277038574)","(0.017111704897880553, 38.69195645650228, 0.02230072021484375, 23230832, 304.5866006215413)","(0.06725765935331583, 35.618115997314476, 0.04194959004720052, 26520364, 303.01496569315594)","(0.017221410356462002, 37.819884872436546, 0.027383804321289062, 25356304, 304.25591532389325)","(0.0028278474943659033, 36.939994430542015, 0.023816426595052082, 22678718, 304.26240730285645)","(0.00366176331671183, 34.45389200846358, 0.02360979715983073, 20095396, 301.52308400472003)","(0.00011721466625403991, 33.800220743815146, 0.023108800252278645, 27389074, 300.13124974568683)","(5.097357787576016e-05, 36.42070159912112, 0.022527694702148438, 28583654, 303.63536834716797)","(6.159932166337967e-05, 36.75068817138674, 0.022065480550130207, 25930202, 304.90566635131836)","(0.001238791691465062, 36.50545399983724, 0.021943410237630207, 26042958, 304.01614570617676)","(0.001186813597381115, 37.598926798502646, 0.021894454956054688, 24367914, 304.8487720489502)","(3.35569620110391e-05, 38.19190813700362, 0.0218505859375, 25379064, 305.1142094930013)",1,[0.1395]
"(0.00031914315223693847, 34.34025090535482, 0.04801177978515625, 26722924, 303.3187948862712)","(3.379162782796286e-05, 36.00117963155111, 0.02960650126139323, 28239548, 303.9073797861735)","(1.7130473996206773e-05, 37.52921511332198, 0.023604710896809895, 26704068, 304.9661871592204)","(0.0, 39.02224121093752, 0.022138595581054688, 24993794, 306.24483489990234)","(0.0012645989189849446, 40.276709493001306, 0.021765391031901043, 21837284, 307.09579277038574)","(0.017111704897880553, 38.69195645650228, 0.02230072021484375, 23230832, 304.5866006215413)","(0.06725765935331583, 35.618115997314476, 0.04194959004720052, 26520364, 303.01496569315594)","(0.017221410356462002, 37.819884872436546, 0.027383804321289062, 25356304, 304.25591532389325)","(0.0028278474943659033, 36.939994430542015, 0.023816426595052082, 22678718, 304.26240730285645)","(0.00366176331671183, 34.45389200846358, 0.02360979715983073, 20095396, 301.52308400472003)","(0.00011721466625403991, 33.800220743815146, 0.023108800252278645, 27389074, 300.13124974568683)","(5.097357787576016e-05, 36.42070159912112, 0.022527694702148438, 28583654, 303.63536834716797)","(6.159932166337967e-05, 36.75068817138674, 0.022065480550130207, 25930202, 304.90566635131836)","(0.001238791691465062, 36.50545399983724, 0.021943410237630207, 26042958, 304.01614570617676)","(0.001186813597381115, 37.598926798502646, 0.021894454956054688, 24367914, 304.8487720489502)","(3.35569620110391e-05, 38.19190813700362, 0.0218505859375, 25379064, 305.1142094930013)","(1.736514191119092e-05, 38.23110733032229, 0.021432876586914062, 28100292, 305.736328125)","(0.005974339758192003, 37.96637878417971, 0.021439234415690105, 24214386, 306.6864725748698)","(0.001083092068875834, 40.26714859008791, 0.022111892700195312, 24792084, 306.0770626068115)","(0.0022487858988295044, 40.231368637084984, 0.02196184794108073, 24176198, 306.3587951660156)","(0.004010526498402163, 40.48813336690267, 0.02197710673014323, 25446540, 306.7905839284261)","(0.0021830799557218997, 39.77129262288412, 0.021703720092773438, 22217138, 307.12585067749023)","(0.003948223188519478, 37.98602892557784, 0.02193768819173177, 23399900, 306.2992858886719)","(0.029116532699763775, 38.83989613850912, 0.023309071858723957, 22509106, 306.0887622833252)","(0.1067159238447673, 34.5137814839681, 0.03340593973795573, 18500526, 302.2959499359131)",1,"[0.1395, 0.126]"
"(0.0, 35.17036717732748, 0.018075942993164062, 30790940, 303.48304684956867)","(2.299707605938579e-05, 36.17845242818197, 0.017457326253255207, 27010068, 303.8154404958089)","(0.0003444868691215959, 31.75063858032229, 0.017014185587565105, 12690092, 302.9223810831706)","(0.00014002820734722264, 33.74340082804366, 0.017019271850585938, 29959340, 301.81626319885254)","(0.00011817164139283705, 37.160241063435876, 0.016411463419596355, 30878496, 304.8940823872884)","(6.808971344750603e-05, 37.03581263224288, 0.01576995849609375, 31534680, 304.5513089497884)","(3.33222992712706e-05, 37.07308921813967, 0.015076319376627604, 30905732, 305.46148745218915)","(5.094785957173258e-05, 38.193688329060876, 0.014321645100911459, 30909124, 306.14757855733234)","(3.4064332319019285e-05, 37.46700185139974, 0.013577143351236979, 31894744, 306.47463607788086)","(3.393166049103087e-05, 37.12888425191244, 0.012822469075520834, 32211460, 305.68623034159344)","(0.0, 35.43222579956057, 0.01209259033203125, 32832200, 304.24685923258465)","(0.0, 35.38006426493331, 0.0114288330078125, 31928664, 303.92018445332843)","(3.355695977310802e-05, 36.48174756368002, 0.010838826497395834, 31326352, 303.76937739054364)","(5.045277550540846e-05, 36.71391830444338, 0.010250091552734375, 31659472, 304.47983678181964)","(3.3791627688092165e-05, 37.89826418558761, 0.00957489013671875, 31085588, 305.3253917694092)","(3.355695977310802e-05, 36.625416056315146, 0.008882522583007812, 28815212, 305.4712263743083)","(0.0, 36.4832480112712, 0.008396784464518229, 27728720, 304.76206461588544)","(0.00012272931337136016, 38.01117095947268, 0.00778961181640625, 29093896, 305.79248046875)","(0.00011615871637508235, 36.4716570536296, 0.007266998291015625, 29827096, 305.1275946299235)","(0.0, 34.81407953898116, 0.0068302154541015625, 31351232, 303.5710697174072)","(0.00024639728665351866, 34.77817751566573, 0.00634765625, 28277684, 304.4009437561035)","(0.07943023817697073, 34.284036254882835, 0.00887298583984375, 26976996, 303.7759558359782)","(0.00813929542395738, 32.73797632853194, 0.029033660888671875, 27552844, 302.45936075846356)","(0.0, 34.91798362731936, 0.024831136067708332, 28774608, 302.0717347462972)","(3.358853474278476e-05, 37.69455490112307, 0.022327423095703125, 30513176, 304.8704916636149)",0,[0.09620000000000001]
"(8.400973975437865e-05, 31.075029627482138, 0.05698966979980469, 31712288, 300.28660647074383)","(8.459639996069655e-05, 31.087555185953818, 0.05682563781738281, 31228304, 299.5243600209554)","(3.355695977310802e-05, 32.789803441365564, 0.056676228841145836, 31126960, 300.6874084472656)","(0.00010139633153566478, 34.38996467590334, 0.05647404988606771, 30932784, 301.57508786519367)","(3.35569620110391e-05, 35.44584744771322, 0.05621210734049479, 31200660, 303.9694073994954)","(3.426095246827572e-05, 37.36294263203939, 0.05575688680013021, 30489820, 306.291077931722)","(0.0, 34.93385022481283, 0.05536333719889323, 31995424, 304.3454125722249)","(0.0, 34.50160051981612, 0.0550543467203776, 30297632, 303.8043149312337)","(6.767471150712368e-05, 34.67109196980795, 0.05473963419596354, 32180324, 303.5697422027588)","(0.0, 34.552238082885765, 0.05441856384277344, 31876576, 304.41892433166504)","(6.803306693588525e-05, 36.60440152486166, 0.05403010050455729, 30924628, 306.1566613515218)","(3.3791627688092165e-05, 35.93585866292318, 0.05357933044433594, 31556140, 305.7846113840739)","(6.73023443918396e-05, 35.74823595682784, 0.053235371907552086, 31595320, 304.666540145874)","(6.781791671724591e-05, 36.93216031392416, 0.05286598205566406, 31425552, 305.99910736083984)","(0.0, 37.32540982564291, 0.05240440368652344, 31663468, 306.27419980367023)","(0.0, 36.47240982055666, 0.05194536844889323, 28706104, 306.451961517334)","(1.7130473996206773e-05, 36.910626347859704, 0.0515753428141276, 30717344, 305.6896343231201)","(0.0, 36.99808082580569, 0.05122566223144531, 30419548, 305.0605271657308)","(6.159932166337967e-05, 36.92640139261886, 0.05084037780761719, 28706772, 305.48102442423504)","(0.0007687012438631826, 37.006737645467126, 0.05065091451009115, 29348140, 305.62548828125)","(0.00016889819867337791, 36.6992012023926, 0.0502618153889974, 31788996, 305.5788968404134)","(1.736514191119092e-05, 36.38422609965011, 0.04984092712402344, 32436232, 305.4435920715332)","(0.0, 35.02167091369631, 0.04938952128092448, 32728504, 305.3652795155843)","(1.7130473996206773e-05, 34.83256746927901, 0.04898834228515625, 32936120, 304.557425181071)","(1.7130473996206773e-05, 35.115425364176474, 0.0486138661702474, 31472384, 304.73803265889484)",0,[0.1584]
"(0.0, 34.93385022481283, 0.05536333719889323, 31995424, 304.3454125722249)","(0.0, 34.50160051981612, 0.0550543467203776, 30297632, 303.8043149312337)","(6.767471150712368e-05, 34.67109196980795, 0.05473963419596354, 32180324, 303.5697422027588)","(0.0, 34.552238082885765, 0.05441856384277344, 31876576, 304.41892433166504)","(6.803306693588525e-05, 36.60440152486166, 0.05403010050455729, 30924628, 306.1566613515218)","(3.3791627688092165e-05, 35.93585866292318, 0.05357933044433594, 31556140, 305.7846113840739)","(6.73023443918396e-05, 35.74823595682784, 0.053235371907552086, 31595320, 304.666540145874)","(6.781791671724591e-05, 36.93216031392416, 0.05286598205566406, 31425552, 305.99910736083984)","(0.0, 37.32540982564291, 0.05240440368652344, 31663468, 306.27419980367023)","(0.0, 36.47240982055666, 0.05194536844889323, 28706104, 306.451961517334)","(1.7130473996206773e-05, 36.910626347859704, 0.0515753428141276, 30717344, 305.6896343231201)","(0.0, 36.99808082580569, 0.05122566223144531, 30419548, 305.0605271657308)","(6.159932166337967e-05, 36.92640139261886, 0.05084037780761719, 28706772, 305.48102442423504)","(0.0007687012438631826, 37.006737645467126, 0.05065091451009115, 29348140, 305.62548828125)","(0.00016889819867337791, 36.6992012023926, 0.0502618153889974, 31788996, 305.5788968404134)","(1.736514191119092e-05, 36.38422609965011, 0.04984092712402344, 32436232, 305.4435920715332)","(0.0, 35.02167091369631, 0.04938952128092448, 32728504, 305.3652795155843)","(1.7130473996206773e-05, 34.83256746927901, 0.04898834228515625, 32936120, 304.557425181071)","(1.7130473996206773e-05, 35.115425364176474, 0.0486138661702474, 31472384, 304.73803265889484)","(6.771018271481921e-05, 34.409062957763695, 0.04827880859375, 32098680, 304.4650452931722)","(6.734805861011068e-05, 34.30907338460287, 0.0479437510172526, 32184384, 304.1687361399333)","(1.736514191119092e-05, 33.73611221313479, 0.04765001932779948, 32072040, 303.903018951416)","(3.330281584324553e-05, 34.86662826538088, 0.04735374450683594, 32267676, 303.5063412984212)","(1.736514191119092e-05, 35.11327832539877, 0.04695892333984375, 32211580, 304.4049530029297)","(0.0, 36.06407318115237, 0.04655329386393229, 31203176, 305.94599024454754)",0,"[0.1584, 0.1723]"
